model,climate,year,species,AGB,AGB_ha,landscape
ILAND,historic,20,bepe,1206469.117,1.307117136511376,dischma
ILAND,historic,20,lade,1062356.203,1.1509818017334779,dischma
ILAND,historic,20,piab,18171.857,0.019687819068255688,dischma
ILAND,historic,20,potr,1841375.455,1.9949896587215603,dischma
ILAND,historic,30,alvi,4042.337,0.00437956338028169,dischma
ILAND,historic,30,bepe,2853816.739,3.0918924582881906,dischma
ILAND,historic,30,lade,11467190.25,12.423824756229687,dischma
ILAND,historic,30,piab,3295023.073,3.569905821235103,dischma
ILAND,historic,30,pice,32.859,3.560021668472373e-5,dischma
ILAND,historic,30,pisy,112262.086,0.1216273954496208,dischma
ILAND,historic,30,potr,3804957.035,4.1223803196099675,dischma
ILAND,historic,30,saca,17370.438,0.018819542795232933,dischma
ILAND,historic,30,soar,46315.509,0.05017931635969664,dischma
ILAND,historic,30,soau,13717.874,0.014862268689057422,dischma
ILAND,historic,40,alvi,25764.452,0.027913815817984834,dischma
ILAND,historic,40,bepe,3649086.493,3.953506492957746,dischma
ILAND,historic,40,lade,27398446.962,29.684124552546045,dischma
ILAND,historic,40,piab,14214150.182,15.399946026002167,dischma
ILAND,historic,40,pice,142113.853,0.15396950487540628,dischma
ILAND,historic,40,pisy,216075.521,0.23410132286023835,dischma
ILAND,historic,40,potr,3729646.107,4.040786681473456,dischma
ILAND,historic,40,saca,1459.674,0.0015814452871072589,dischma
ILAND,historic,40,soar,95955.685,0.10396065547128927,dischma
ILAND,historic,40,soau,29924.96,0.03242140845070422,dischma
ILAND,historic,40,tipl,2.624,2.8429035752979416e-6,dischma
ILAND,historic,50,alvi,10857.746,0.01176353846153846,dischma
ILAND,historic,50,bepe,2050375.024,2.2214247280606716,dischma
ILAND,historic,50,lade,43715025.749,47.361891385698804,dischma
ILAND,historic,50,piab,28064192.266,30.405408738894906,dischma
ILAND,historic,50,pice,716285.798,0.7760409512459371,dischma
ILAND,historic,50,pisy,225131.393,0.24391266847237272,dischma
ILAND,historic,50,potr,1197657.779,1.297570724810401,dischma
ILAND,historic,50,saca,679.324,7.359956663055254e-4,dischma
ILAND,historic,50,soar,65230.302,0.07067204983748646,dischma
ILAND,historic,50,soau,14177.081,0.015359784398699892,dischma
ILAND,historic,50,tipl,2.546,2.7583965330444203e-6,dischma
ILAND,historic,60,alvi,5558.172,0.006021854821235103,dischma
ILAND,historic,60,bepe,1354222.106,1.4671962145178763,dischma
ILAND,historic,60,lade,54917326.366,59.49872845720476,dischma
ILAND,historic,60,piab,41357161.687,44.807325771397615,dischma
ILAND,historic,60,pice,1473069.358,1.5959581343445288,dischma
ILAND,historic,60,pisy,185224.323,0.200676406283857,dischma
ILAND,historic,60,potr,406495.903,0.4404072621885157,dischma
ILAND,historic,60,saca,255.364,2.766673889490791e-4,dischma
ILAND,historic,60,soar,53497.161,0.05796008775731311,dischma
ILAND,historic,60,soau,7430.147,0.008049996749729144,dischma
ILAND,historic,70,alvi,16228.396,0.017582227518959916,dischma
ILAND,historic,70,bepe,969810.217,1.0507152946912242,dischma
ILAND,historic,70,coav,6.099,6.607800650054171e-6,dischma
ILAND,historic,70,lade,63948070.956,69.28285043986999,dischma
ILAND,historic,70,piab,53241267.268,57.68284644420368,dischma
ILAND,historic,70,pice,2180243.57,2.3621273781148426,dischma
ILAND,historic,70,pisy,129110.69,0.13988157096424703,dischma
ILAND,historic,70,potr,283894.396,0.30757789382448536,dischma
ILAND,historic,70,saca,258.608,2.801820151679307e-4,dischma
ILAND,historic,70,soar,54036.199,0.05854409425785482,dischma
ILAND,historic,70,soau,6391.749,0.006924971830985915,dischma
ILAND,historic,70,tipl,57.157000000000004,6.19252437703142e-5,dischma
ILAND,historic,80,alvi,11515.571,0.012476241603466956,dischma
ILAND,historic,80,bepe,1018135.076,1.103071588299025,dischma
ILAND,historic,80,coav,35.322,3.826868905742145e-5,dischma
ILAND,historic,80,lade,72917770.945,79.00083526002166,dischma
ILAND,historic,80,piab,64120433.495,69.46959208559046,dischma
ILAND,historic,80,pice,2887534.95,3.1284235644637057,dischma
ILAND,historic,80,pisy,112396.468,0.12177298808234019,dischma
ILAND,historic,80,potr,401987.095,0.43552231310942574,dischma
ILAND,historic,80,saca,188.595,2.0432827735644636e-4,dischma
ILAND,historic,80,soar,71640.564,0.07761707908992416,dischma
ILAND,historic,80,soau,7752.959,0.008399738894907909,dischma
