model,landscape,climate,year,species,disturbances,diversity,scenario,AGB_t_ha_med
ILAND,dischma,historic,0,alvi,future,high,alpha,0.001220808131204573
ILAND,dischma,historic,0,alvi,future,high,beta,0.0042704845060506594
ILAND,dischma,historic,0,alvi,future,high_future,alpha,0.0012029321632011998
ILAND,dischma,historic,0,alvi,future,high_future,beta,0.00429124528793608
ILAND,dischma,historic,0,alvi,future,low,alpha,0.0010306193023266216
ILAND,dischma,historic,0,alvi,future,low,beta,0.0036187301668502946
ILAND,dischma,historic,0,alvi,historic,high,alpha,0.00120838833334104
ILAND,dischma,historic,0,alvi,historic,high,beta,0.004301863457829987
ILAND,dischma,historic,0,alvi,historic,high_future,alpha,0.0012229222037717458
ILAND,dischma,historic,0,alvi,historic,high_future,beta,0.004294859935966434
ILAND,dischma,historic,0,alvi,historic,low,alpha,0.0010333927391542935
ILAND,dischma,historic,0,alvi,historic,low,beta,0.00359284781696293
ILAND,dischma,historic,0,alvi,no,high,alpha,0.0012160306519799476
ILAND,dischma,historic,0,alvi,no,high,beta,0.0042791660231692496
ILAND,dischma,historic,0,alvi,no,high_future,alpha,0.0012188785150869146
ILAND,dischma,historic,0,alvi,no,high_future,beta,0.004296829591056217
ILAND,dischma,historic,0,alvi,no,low,alpha,0.00103202178655949
ILAND,dischma,historic,0,alvi,no,low,beta,0.0036130461618082265
ILAND,dischma,historic,0,bepe,future,high,alpha,3.8955901399220085
ILAND,dischma,historic,0,bepe,future,high,beta,3.8276286568774855
ILAND,dischma,historic,0,bepe,future,high_future,alpha,3.8974312738650685
ILAND,dischma,historic,0,bepe,future,high_future,beta,3.8246285017119925
ILAND,dischma,historic,0,bepe,historic,high,alpha,3.8959991415031134
ILAND,dischma,historic,0,bepe,historic,high,beta,3.826672177735559
ILAND,dischma,historic,0,bepe,historic,high_future,alpha,3.8965298983787355
ILAND,dischma,historic,0,bepe,historic,high_future,beta,3.827645166339169
ILAND,dischma,historic,0,bepe,no,high,alpha,3.89490546878089
ILAND,dischma,historic,0,bepe,no,high,beta,3.827697943587974
