species m.unit landscape diversity
bepe 1 dischma high
lade 1 dischma high
piab 1 dischma high
potr 1 dischma high
lade 2 dischma high
piab 2 dischma high
pice 2 dischma high
alvi 3 dischma high
lade 3 dischma high
pice 3 dischma high
abal 1 dischma high_future
bepe 1 dischma high_future
cabe 1 dischma high_future
fasy 1 dischma high_future
lade 1 dischma high_future
piab 1 dischma high_future
pisy 1 dischma high_future
potr 1 dischma high_future
qupe 1 dischma high_future
abal 2 dischma high_future
bepe 2 dischma high_future
cabe 2 dischma high_future
fasy 2 dischma high_future
lade 2 dischma high_future
piab 2 dischma high_future
pisy 2 dischma high_future
potr 2 dischma high_future
qupe 2 dischma high_future
pice 2 dischma high_future
abal 3 dischma high_future
bepe 3 dischma high_future
cabe 3 dischma high_future
fasy 3 dischma high_future
lade 3 dischma high_future
piab 3 dischma high_future
pice 3 dischma high_future
potr 3 dischma high_future
qupe 3 dischma high_future
alvi 3 dischma high_future
piab 1 dischma low
lade 2 dischma low
piab 2 dischma low
alvi 3 dischma low
pice 3 dischma low
piab 1 dischma no
piab 2 dischma no
piab 3 dischma no
abal 1 rosalia high
acps 1 rosalia high
cabe 1 rosalia high
fasy 1 rosalia high
piab 1 rosalia high
potr 1 rosalia high
qupe 1 rosalia high
abal 2 rosalia high
acps 2 rosalia high
alin 2 rosalia high
cabe 2 rosalia high
fasy 2 rosalia high
piab 2 rosalia high
poni 2 rosalia high
potr 2 rosalia high
qupe 2 rosalia high
abal 1 rosalia high_future
cabe 1 rosalia high_future
fasy 1 rosalia high_future
qupe 1 rosalia high_future
tico 1 rosalia high_future
acps 1 rosalia high_future
piab 1 rosalia high_future
potr 1 rosalia high_future
abal 2 rosalia high_future
cabe 2 rosalia high_future
fasy 2 rosalia high_future
qupe 2 rosalia high_future
tico 2 rosalia high_future
acps 2 rosalia high_future
alin 2 rosalia high_future
piab 2 rosalia high_future
poni 2 rosalia high_future
potr 2 rosalia high_future
abal 1 rosalia low
fasy 1 rosalia low
abal 2 rosalia low
fasy 2 rosalia low
fasy 1 rosalia no
fasy 2 rosalia no
