landscape,climate,scenario,diversity,disturbances,replication,dist_impact,age_structure,experiment,run_id
dischma,historic,alpha,high_future,future,1,species_height,young,2,2521
dischma,historic,alpha,high_future,future,2,species_height,young,2,2522
dischma,historic,alpha,high_future,future,3,species_height,young,2,2523
dischma,historic,alpha,high_future,future,4,species_height,young,2,2524
dischma,historic,alpha,high_future,future,5,species_height,young,2,2525
dischma,historic,alpha,high_future,future,6,species_height,young,2,2526
dischma,historic,alpha,high_future,future,7,species_height,young,2,2527
dischma,historic,alpha,high_future,future,8,species_height,young,2,2528
dischma,historic,alpha,high_future,future,9,species_height,young,2,2529
dischma,historic,alpha,high_future,future,10,species_height,young,2,2530
dischma,historic,alpha,high_future,future,1,species_height,old,2,2531
dischma,historic,alpha,high_future,future,2,species_height,old,2,2532
dischma,historic,alpha,high_future,future,3,species_height,old,2,2533
dischma,historic,alpha,high_future,future,4,species_height,old,2,2534
dischma,historic,alpha,high_future,future,5,species_height,old,2,2535
dischma,historic,alpha,high_future,future,6,species_height,old,2,2536
dischma,historic,alpha,high_future,future,7,species_height,old,2,2537
dischma,historic,alpha,high_future,future,8,species_height,old,2,2538
dischma,historic,alpha,high_future,future,9,species_height,old,2,2539
dischma,historic,alpha,high_future,future,10,species_height,old,2,2540
dischma,historic,alpha,high_future,future,1,random,normal,3,2541
dischma,historic,alpha,high_future,future,2,random,normal,3,2542
dischma,historic,alpha,high_future,future,3,random,normal,3,2543
dischma,historic,alpha,high_future,future,4,random,normal,3,2544
dischma,historic,alpha,high_future,future,5,random,normal,3,2545
dischma,historic,alpha,high_future,future,6,random,normal,3,2546
dischma,historic,alpha,high_future,future,7,random,normal,3,2547
dischma,historic,alpha,high_future,future,8,random,normal,3,2548
dischma,historic,alpha,high_future,future,9,random,normal,3,2549
dischma,historic,alpha,high_future,future,10,random,normal,3,2550
dischma,historic,alpha,high_future,future,1,height_only,normal,3,2551
dischma,historic,alpha,high_future,future,2,height_only,normal,3,2552
dischma,historic,alpha,high_future,future,3,height_only,normal,3,2553
dischma,historic,alpha,high_future,future,4,height_only,normal,3,2554
dischma,historic,alpha,high_future,future,5,height_only,normal,3,2555
dischma,historic,alpha,high_future,future,6,height_only,normal,3,2556
dischma,historic,alpha,high_future,future,7,height_only,normal,3,2557
dischma,historic,alpha,high_future,future,8,height_only,normal,3,2558
dischma,historic,alpha,high_future,future,9,height_only,normal,3,2559
dischma,historic,alpha,high_future,future,10,height_only,normal,3,2560
dischma,historic,alpha,high_future,future_100,1,species_height,normal,1,2561
dischma,historic,alpha,high_future,future_100,2,species_height,normal,1,2562
dischma,historic,alpha,high_future,future_100,3,species_height,normal,1,2563
dischma,historic,alpha,high_future,future_100,4,species_height,normal,1,2564
dischma,historic,alpha,high_future,future_100,5,species_height,normal,1,2565
dischma,historic,alpha,high_future,future_100,6,species_height,normal,1,2566
dischma,historic,alpha,high_future,future_100,7,species_height,normal,1,2567
dischma,historic,alpha,high_future,future_100,8,species_height,normal,1,2568
dischma,historic,alpha,high_future,future_100,9,species_height,normal,1,2569
dischma,historic,alpha,high_future,future_100,10,species_height,normal,1,2570
dischma,historic,alpha,high_future,historic_600,1,species_height,normal,1,2571
dischma,historic,alpha,high_future,historic_600,2,species_height,normal,1,2572
dischma,historic,alpha,high_future,historic_600,3,species_height,normal,1,2573
dischma,historic,alpha,high_future,historic_600,4,species_height,normal,1,2574
dischma,historic,alpha,high_future,historic_600,5,species_height,normal,1,2575
dischma,historic,alpha,high_future,historic_600,6,species_height,normal,1,2576
dischma,historic,alpha,high_future,historic_600,7,species_height,normal,1,2577
dischma,historic,alpha,high_future,historic_600,8,species_height,normal,1,2578
dischma,historic,alpha,high_future,historic_600,9,species_height,normal,1,2579
dischma,historic,alpha,high_future,historic_600,10,species_height,normal,1,2580
dischma,historic,alpha,high_future,no,1,species_height,young,2,2581
dischma,historic,alpha,high_future,no,2,species_height,young,2,2582
dischma,historic,alpha,high_future,no,3,species_height,young,2,2583
dischma,historic,alpha,high_future,no,4,species_height,young,2,2584
dischma,historic,alpha,high_future,no,5,species_height,young,2,2585
dischma,historic,alpha,high_future,no,6,species_height,young,2,2586
dischma,historic,alpha,high_future,no,7,species_height,young,2,2587
dischma,historic,alpha,high_future,no,8,species_height,young,2,2588
dischma,historic,alpha,high_future,no,9,species_height,young,2,2589
dischma,historic,alpha,high_future,no,10,species_height,young,2,2590
dischma,historic,alpha,high_future,no,1,species_height,old,2,2591
dischma,historic,alpha,high_future,no,2,species_height,old,2,2592
dischma,historic,alpha,high_future,no,3,species_height,old,2,2593
dischma,historic,alpha,high_future,no,4,species_height,old,2,2594
dischma,historic,alpha,high_future,no,5,species_height,old,2,2595
dischma,historic,alpha,high_future,no,6,species_height,old,2,2596
dischma,historic,alpha,high_future,no,7,species_height,old,2,2597
dischma,historic,alpha,high_future,no,8,species_height,old,2,2598
dischma,historic,alpha,high_future,no,9,species_height,old,2,2599
dischma,historic,alpha,high_future,no,10,species_height,old,2,2600
dischma,historic,alpha,low,future,1,species_height,young,2,2601
dischma,historic,alpha,low,future,2,species_height,young,2,2602
dischma,historic,alpha,low,future,3,species_height,young,2,2603
dischma,historic,alpha,low,future,4,species_height,young,2,2604
dischma,historic,alpha,low,future,5,species_height,young,2,2605
dischma,historic,alpha,low,future,6,species_height,young,2,2606
dischma,historic,alpha,low,future,7,species_height,young,2,2607
dischma,historic,alpha,low,future,8,species_height,young,2,2608
dischma,historic,alpha,low,future,9,species_height,young,2,2609
dischma,historic,alpha,low,future,10,species_height,young,2,2610
dischma,historic,alpha,low,future,1,species_height,old,2,2611
dischma,historic,alpha,low,future,2,species_height,old,2,2612
dischma,historic,alpha,low,future,3,species_height,old,2,2613
dischma,historic,alpha,low,future,4,species_height,old,2,2614
dischma,historic,alpha,low,future,5,species_height,old,2,2615
dischma,historic,alpha,low,future,6,species_height,old,2,2616
dischma,historic,alpha,low,future,7,species_height,old,2,2617
dischma,historic,alpha,low,future,8,species_height,old,2,2618
dischma,historic,alpha,low,future,9,species_height,old,2,2619
dischma,historic,alpha,low,future,10,species_height,old,2,2620
dischma,historic,alpha,low,future,1,random,normal,3,2621
dischma,historic,alpha,low,future,2,random,normal,3,2622
dischma,historic,alpha,low,future,3,random,normal,3,2623
dischma,historic,alpha,low,future,4,random,normal,3,2624
dischma,historic,alpha,low,future,5,random,normal,3,2625
dischma,historic,alpha,low,future,6,random,normal,3,2626
dischma,historic,alpha,low,future,7,random,normal,3,2627
dischma,historic,alpha,low,future,8,random,normal,3,2628
dischma,historic,alpha,low,future,9,random,normal,3,2629
dischma,historic,alpha,low,future,10,random,normal,3,2630
dischma,historic,alpha,low,future,1,height_only,normal,3,2631
dischma,historic,alpha,low,future,2,height_only,normal,3,2632
dischma,historic,alpha,low,future,3,height_only,normal,3,2633
dischma,historic,alpha,low,future,4,height_only,normal,3,2634
dischma,historic,alpha,low,future,5,height_only,normal,3,2635
dischma,historic,alpha,low,future,6,height_only,normal,3,2636
dischma,historic,alpha,low,future,7,height_only,normal,3,2637
dischma,historic,alpha,low,future,8,height_only,normal,3,2638
dischma,historic,alpha,low,future,9,height_only,normal,3,2639
dischma,historic,alpha,low,future,10,height_only,normal,3,2640
dischma,historic,alpha,low,future_100,1,species_height,normal,1,2641
dischma,historic,alpha,low,future_100,2,species_height,normal,1,2642
dischma,historic,alpha,low,future_100,3,species_height,normal,1,2643
dischma,historic,alpha,low,future_100,4,species_height,normal,1,2644
dischma,historic,alpha,low,future_100,5,species_height,normal,1,2645
dischma,historic,alpha,low,future_100,6,species_height,normal,1,2646
dischma,historic,alpha,low,future_100,7,species_height,normal,1,2647
dischma,historic,alpha,low,future_100,8,species_height,normal,1,2648
dischma,historic,alpha,low,future_100,9,species_height,normal,1,2649
dischma,historic,alpha,low,future_100,10,species_height,normal,1,2650
dischma,historic,alpha,low,historic_600,1,species_height,normal,1,2651
dischma,historic,alpha,low,historic_600,2,species_height,normal,1,2652
dischma,historic,alpha,low,historic_600,3,species_height,normal,1,2653
dischma,historic,alpha,low,historic_600,4,species_height,normal,1,2654
dischma,historic,alpha,low,historic_600,5,species_height,normal,1,2655
dischma,historic,alpha,low,historic_600,6,species_height,normal,1,2656
dischma,historic,alpha,low,historic_600,7,species_height,normal,1,2657
dischma,historic,alpha,low,historic_600,8,species_height,normal,1,2658
dischma,historic,alpha,low,historic_600,9,species_height,normal,1,2659
dischma,historic,alpha,low,historic_600,10,species_height,normal,1,2660
