model,landscape,climate,disturbances,replication,diversity,scenario,cv_temporal_agb,cv_temporal_bt
ILAND,dischma,historic,future,1,high,alpha,9.35151880971426,6.873022931744082
ILAND,dischma,historic,future,1,high,beta,12.099705477512538,9.333610364234586
ILAND,dischma,historic,future,1,high_future,alpha,7.968961138222551,7.359975011742121
ILAND,dischma,historic,future,1,high_future,beta,8.390519624898115,8.923212700534497
ILAND,dischma,historic,future,1,low,alpha,5.145290554306167,6.033509806371329
ILAND,dischma,historic,future,1,low,beta,4.152658643467276,6.159632391992376
ILAND,dischma,historic,future,1,no,prod,4.904451406138391,5.846118697527811
ILAND,dischma,historic,future,2,high,alpha,9.662984542428218,6.366910976166603
ILAND,dischma,historic,future,2,high,beta,12.032119988667892,9.510126695491827
ILAND,dischma,historic,future,2,high_future,alpha,8.13504948295502,7.194309924690681
ILAND,dischma,historic,future,2,high_future,beta,8.2207443729055,8.676944678429305
ILAND,dischma,historic,future,2,low,alpha,4.969425570942403,4.84037095685007
ILAND,dischma,historic,future,2,low,beta,3.9295905597738447,6.627964251117108
ILAND,dischma,historic,future,2,no,prod,4.5286221262123245,5.077226231030474
ILAND,dischma,historic,future,3,high,alpha,9.69684743595327,6.440638118114982
ILAND,dischma,historic,future,3,high,beta,12.15062473483566,9.007352074577957
ILAND,dischma,historic,future,3,high_future,alpha,8.342483855008208,7.432846823854784
ILAND,dischma,historic,future,3,high_future,beta,8.337362931572105,8.289933658340102
ILAND,dischma,historic,future,3,low,alpha,4.976959920906101,4.727014025518063
ILAND,dischma,historic,future,3,low,beta,4.714315845200153,6.909422624091663
ILAND,dischma,historic,future,3,no,prod,4.821375351807321,5.19213476674359
ILAND,dischma,historic,future,4,high,alpha,9.58450677905515,6.295999312034296
ILAND,dischma,historic,future,4,high,beta,12.145450850336795,9.48696397003173
ILAND,dischma,historic,future,4,high_future,alpha,8.249773903700795,7.489533041457095
ILAND,dischma,historic,future,4,high_future,beta,8.124963349184672,8.318196529744982
ILAND,dischma,historic,future,4,low,alpha,5.070739502805406,4.656480032430586
ILAND,dischma,historic,future,4,low,beta,4.565787061087863,7.385366816148861
ILAND,dischma,historic,future,4,no,prod,4.85398952655451,6.484618184245972
ILAND,dischma,historic,future,5,high,alpha,9.120645588317936,5.807203663018315
ILAND,dischma,historic,future,5,high,beta,11.856813634069798,9.312508062448666
ILAND,dischma,historic,future,5,high_future,alpha,8.00391615804075,8.627966465293987
ILAND,dischma,historic,future,5,high_future,beta,8.112213483013623,9.201896327072495
ILAND,dischma,historic,future,5,low,alpha,4.559095261407148,4.528103425536464
ILAND,dischma,historic,future,5,low,beta,4.077156544131198,7.692201566247872
ILAND,dischma,historic,future,5,no,prod,4.559757130222359,6.606252428404313
ILAND,dischma,historic,future,6,high,alpha,9.242115179267293,6.5765460367426005
ILAND,dischma,historic,future,6,high,beta,11.857454778737829,9.156732436062608
ILAND,dischma,historic,future,6,high_future,alpha,7.888056181167976,7.582789042042161
ILAND,dischma,historic,future,6,high_future,beta,7.7901649121383825,8.506031257315447
ILAND,dischma,historic,future,6,low,alpha,4.518157104000389,5.166786849496609
ILAND,dischma,historic,future,6,low,beta,4.291213541681905,7.237429893737485
ILAND,dischma,historic,future,6,no,prod,5.126139694834013,5.728214540826556
ILAND,dischma,historic,future,7,high,alpha,9.555426783330383,6.785266917695103
ILAND,dischma,historic,future,7,high,beta,12.035863768478247,9.256761020906438
ILAND,dischma,historic,future,7,high_future,alpha,8.109037131322495,7.853568215683787
ILAND,dischma,historic,future,7,high_future,beta,7.999253369773654,8.682500197261414
ILAND,dischma,historic,future,7,low,alpha,4.634679898627339,5.908440714722271
ILAND,dischma,historic,future,7,low,beta,4.0989523051996954,7.684461487877316
ILAND,dischma,historic,future,7,no,prod,5.235454625968548,5.6877339343255535
ILAND,dischma,historic,future,8,high,alpha,9.781540816566455,6.528314628520176
ILAND,dischma,historic,future,8,high,beta,12.058863241387648,9.436862907908182
ILAND,dischma,historic,future,8,high_future,alpha,8.448918706690515,8.37336041128503
ILAND,dischma,historic,future,8,high_future,beta,8.308233648225269,8.5989264678117
ILAND,dischma,historic,future,8,low,alpha,4.972188391722515,4.563702606071065
ILAND,dischma,historic,future,8,low,beta,4.601248523238315,6.433437135930473
ILAND,dischma,historic,future,8,no,prod,5.1045782994859525,5.629413230473493
ILAND,dischma,historic,future,9,high,alpha,9.575145150637582,6.794514505509763
ILAND,dischma,historic,future,9,high,beta,11.767265764733693,8.79690505103317
ILAND,dischma,historic,future,9,high_future,alpha,8.201602347373464,8.180731720677729
ILAND,dischma,historic,future,9,high_future,beta,7.6570732715996765,7.75127382847705
ILAND,dischma,historic,future,9,low,alpha,4.747562772897405,5.544602637052353
ILAND,dischma,historic,future,9,low,beta,4.307407674977573,7.2113432745007104
ILAND,dischma,historic,future,9,no,prod,4.662573250206505,5.692982307194902
ILAND,dischma,historic,future,10,high,alpha,9.156985006868263,6.421356459099152
ILAND,dischma,historic,future,10,high,beta,11.825597647480638,8.963662286649367
ILAND,dischma,historic,future,10,high_future,alpha,7.866829657838738,8.365254551002934
ILAND,dischma,historic,future,10,high_future,beta,7.81658923613831,8.35040501707971
ILAND,dischma,historic,future,10,low,alpha,4.159318448373374,4.768930355836314
ILAND,dischma,historic,future,10,low,beta,4.085426807877955,7.569931005968969
ILAND,dischma,historic,future,10,no,prod,4.656187697734157,6.3597051326052965
ILAND,dischma,historic,future,11,high,alpha,9.576705240136347,6.338748919982677
ILAND,dischma,historic,future,11,high,beta,12.03031670787495,8.986845284178088
ILAND,dischma,historic,future,11,high_future,alpha,8.141672554573795,7.776798270365434
ILAND,dischma,historic,future,11,high_future,beta,7.814524189385922,8.055154488863584
ILAND,dischma,historic,future,11,low,alpha,4.58373205387266,4.909343560407585
ILAND,dischma,historic,future,11,low,beta,4.453963148443241,6.890995922088311
ILAND,dischma,historic,future,11,no,prod,5.0360171780712095,6.484682992609496
ILAND,dischma,historic,future,12,high,alpha,9.27307682972096,6.263127565986403
