landscape,model,scenario,diversity,biomass_mea,biomass_min,biomass_max,big_trees_mea,big_trees_min,big_trees_max
dischma,ILAND,alpha,high,-6.69,-7.34,-6.14,-6.36,-5.36,-7.09
dischma,ILAND,alpha,high_future,-6.51,-7.1,-6,-5.18,-4.5,-5.85
dischma,ILAND,alpha,low,-6.87,-7.42,-6.22,-11.62,-10.64,-12.43
dischma,ILAND,beta,high,-4.98,-5.34,-4.35,-7.91,-6.95,-8.51
dischma,ILAND,beta,high_future,-4.94,-5.46,-4.37,-7.03,-6.25,-7.81
dischma,ILAND,beta,low,-6.17,-6.62,-5.62,-11.22,-10.12,-12.06
dischma,ILAND,prod,no,-6.68,-7.41,-5.96,-13.75,-12.49,-15.39
dischma,LANDCLIM,alpha,high,-2.17,-2.37,-1.93,-2.05,-1.85,-2.25
dischma,LANDCLIM,alpha,high_future,-2.12,-2.31,-1.9,-2.07,-1.78,-2.32
dischma,LANDCLIM,alpha,low,-2.24,-2.6,-1.96,0.3,0.54,0
dischma,LANDCLIM,beta,high,-1.95,-2.18,-1.76,-1.71,-1.45,-2.07
dischma,LANDCLIM,beta,high_future,-1.92,-2.08,-1.64,-1.67,-1.4,-1.93
dischma,LANDCLIM,beta,low,-2.22,-2.53,-1.69,0.27,0.68,-0.27
dischma,LANDCLIM,prod,no,-2.66,-2.93,-2.33,1.21,1.63,0.58
rosalia,ILAND,alpha,high,-3.14,-3.66,-2.67,-6.06,-4.74,-7.2
rosalia,ILAND,alpha,high_future,-3.05,-3.5,-2.71,-5.75,-4.95,-7.09
rosalia,ILAND,alpha,low,-3.14,-3.27,-3,-14.28,-13.65,-15
rosalia,ILAND,beta,high,-2.77,-3.09,-2.38,-6.78,-5.48,-7.96
rosalia,ILAND,beta,high_future,-2.64,-3.12,-2.46,-6.34,-5.69,-8.13
rosalia,ILAND,beta,low,-2.97,-3.14,-2.84,-11.68,-10.78,-12.71
rosalia,ILAND,prod,no,-1.31,-1.37,-1.22,-0.46,0.1,-1.01
rosalia,LANDCLIM,alpha,high,-1.47,-1.53,-1.41,-1.83,-1.73,-1.94
rosalia,LANDCLIM,alpha,high_future,-1.4,-1.48,-1.32,-1.77,-1.6,-1.88
rosalia,LANDCLIM,alpha,low,-1.54,-1.63,-1.47,2.68,3.07,2.19
rosalia,LANDCLIM,beta,high,-1.14,-1.19,-1.09,-1.3,-1.15,-1.43
rosalia,LANDCLIM,beta,high_future,-1.07,-1.13,-0.96,-1.18,-1.04,-1.32
rosalia,LANDCLIM,beta,low,-1.58,-1.66,-1.54,1.51,2.02,1.24
rosalia,LANDCLIM,prod,no,-0.41,-0.44,-0.38,-0.32,-0.21,-0.4
